Model,Seed,Exposure,Base_Accuracy,Input_Only_Accuracy,Input_Output_Accuracy,Input_Only_Agreement,Input_Output_Agreement,Input_Only_W2C,Input_Output_W2C,Input_Only_C2W,Input_Output_C2W,Input_Only_C2C,Input_Output_C2C,Input_Only_W2W,Input_Output_W2W
Qwen/Qwen2.5-1.5B-Instruct,42,500,0.72,0.75,0.758,0.846,0.832,40,46,25,27,335,333,100,94
Qwen/Qwen2.5-1.5B-Instruct,42,1000,0.72,0.752,0.776,0.826,0.816,44,53,28,25,332,335,96,87
Qwen/Qwen2.5-1.5B-Instruct,42,2000,0.72,0.75,0.808,0.796,0.804,47,61,32,17,328,343,93,79
Qwen/Qwen2.5-1.5B-Instruct,123,500,0.72,0.748,0.764,0.854,0.822,37,48,23,26,337,334,103,92
Qwen/Qwen2.5-1.5B-Instruct,123,1000,0.72,0.752,0.784,0.818,0.826,46,53,30,21,330,339,94,87
Qwen/Qwen2.5-1.5B-Instruct,123,2000,0.72,0.746,0.726,0.788,0.726,48,54,35,51,325,309,92,86
Qwen/Qwen2.5-1.5B-Instruct,999,500,0.72,0.74,0.764,0.84,0.824,38,48,28,26,332,334,102,92
Qwen/Qwen2.5-1.5B-Instruct,999,1000,0.72,0.752,0.78,0.82,0.81,46,53,30,23,330,337,94,87
Qwen/Qwen2.5-1.5B-Instruct,999,2000,0.72,0.78,0.8,0.824,0.798,50,60,20,20,340,340,90,80
TinyLlama/TinyLlama-1.1B-Chat-v1.0,42,500,0.284,0.258,0.276,0.46,0.826,66,21,79,25,63,117,292,337
TinyLlama/TinyLlama-1.1B-Chat-v1.0,42,1000,0.284,0.268,0.276,0.75,0.826,32,21,40,25,102,117,326,337
TinyLlama/TinyLlama-1.1B-Chat-v1.0,42,2000,0.284,0.28,0.274,0.796,0.82,27,22,29,27,113,115,331,336
TinyLlama/TinyLlama-1.1B-Chat-v1.0,123,500,0.284,0.29,0.276,0.686,0.828,48,21,45,25,97,117,310,337
TinyLlama/TinyLlama-1.1B-Chat-v1.0,123,1000,0.284,0.26,0.276,0.226,0.826,102,21,114,25,28,117,256,337
TinyLlama/TinyLlama-1.1B-Chat-v1.0,123,2000,0.284,0.292,0.284,0.616,0.812,54,26,50,26,92,116,304,332
TinyLlama/TinyLlama-1.1B-Chat-v1.0,999,500,0.284,0.264,0.276,0.734,0.826,33,21,43,25,99,117,325,337
TinyLlama/TinyLlama-1.1B-Chat-v1.0,999,1000,0.284,0.282,0.276,0.658,0.828,53,21,54,25,88,117,305,337
TinyLlama/TinyLlama-1.1B-Chat-v1.0,999,2000,0.284,0.294,0.276,0.764,0.826,35,21,30,25,112,117,323,337
google/gemma-2b-it,42,500,0.464,0.372,0.384,0.742,0.736,20,25,66,65,166,167,248,243
google/gemma-2b-it,42,1000,0.464,0.384,0.376,0.662,0.722,35,23,75,67,157,165,233,245
google/gemma-2b-it,42,2000,0.464,0.392,0.402,0.61,0.692,39,36,75,67,157,165,229,232
google/gemma-2b-it,123,500,0.464,0.386,0.37,0.718,0.722,27,23,66,70,166,162,241,245
google/gemma-2b-it,123,1000,0.464,0.364,0.362,0.69,0.748,26,17,76,68,156,164,242,251
google/gemma-2b-it,123,2000,0.464,0.368,0.376,0.724,0.756,19,18,67,62,165,170,249,250
google/gemma-2b-it,999,500,0.462,0.376,0.368,0.768,0.77,15,12,58,59,173,172,254,257
google/gemma-2b-it,999,1000,0.462,0.374,0.392,0.566,0.72,42,27,86,62,145,169,227,242
google/gemma-2b-it,999,2000,0.462,0.39,0.39,0.65,0.788,35,16,71,52,160,179,234,253
microsoft/phi-2,42,500,0.576,0.21,0.526,0.346,0.628,11,52,194,77,94,211,201,160
microsoft/phi-2,42,1000,0.576,0.36,0.662,0.546,0.726,16,66,124,23,164,265,196,146
microsoft/phi-2,42,2000,0.576,0.376,0.696,0.49,0.68,33,88,133,28,155,260,179,124
microsoft/phi-2,123,500,0.576,0.31,0.62,0.482,0.696,14,57,147,35,141,253,198,155
microsoft/phi-2,123,1000,0.576,0.436,0.658,0.586,0.696,30,70,100,29,188,259,182,142
microsoft/phi-2,123,2000,0.576,0.5,0.704,0.608,0.718,50,82,88,18,200,270,162,130
microsoft/phi-2,999,500,0.576,0.434,0.636,0.656,0.734,20,57,91,27,197,261,192,155
microsoft/phi-2,999,1000,0.576,0.056,0.684,0.182,0.68,3,80,263,26,25,262,209,132
microsoft/phi-2,999,2000,0.576,0.624,0.696,0.73,0.686,57,85,33,25,255,263,155,127
